"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/DANIELE+MIRANDA+ARQUITETURA/data=!4m7!3m6!1s0x52721760fd23025:0x8e42544427c9590b!8m2!3d-16.699117!4d-49.2579132!16s%2Fg%2F11jz1pk6m4!19sChIJJTDSD3YhJwURC1nJJ0RUQo4?authuser=0&hl=pt-BR&rclk=1","DANIELE MIRANDA ARQUITETURA","5,0","(4)","Escritório de arquitetura de interiores","·","","·","Personalité Business - R. 1136, 246","Aberto","· Fecha 19:00","·","(62) 99987-2393","https://www.instagram.com/danimiranda.arquitetura/","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente","arquiteta",", atenciosa e profissional."""
"https://www.google.com/maps/place/CRIAU+Arquitetas+Associadas+-+Arquitetura+e+Interiores+Goi%C3%A2nia/data=!4m7!3m6!1s0x935ef388fd2f2701:0x39bce08c37b7dee9!8m2!3d-16.6663001!4d-49.2473566!16s%2Fg%2F11fhlbxmsw!19sChIJAScv_YjzXpMR6d63N4zgvDk?authuser=0&hl=pt-BR&rclk=1","CRIAU Arquitetas Associadas - Arquitetura e Interiores Goiânia","","","Escritório de arquitetura de interiores","·","","·","R. 226, 93","Aberto","· Fecha 18:00","·","(62) 3920-2083","","","Rotas","","","","","",""
"https://www.google.com/maps/place/Sammea+Vilarinho+Arquitetura/data=!4m7!3m6!1s0x935ef148f0d1432f:0xef21fd83375ddfc9!8m2!3d-16.6941884!4d-49.2662453!16s%2Fg%2F11vwr11fmf!19sChIJL0PR8EjxXpMRyd9dN4P9Ie8?authuser=0&hl=pt-BR&rclk=1","Sammea Vilarinho Arquitetura","5,0","(9)","Escritório de Arquitetura","·","","·","Galeria JF Moraes - Rua 30 QD G-14 LT 04, sala 04 piso 2","Aberto","· Fecha 18:00","·","(11) 98538-4486","","","","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Maravilhosa ,","arquiteta","expert em projetos e de uma simpatia incrível!!"""
"https://www.google.com/maps/place/LIDA+Arquitetura/data=!4m7!3m6!1s0x935ef128a34d125b:0x2e4e7b3feaa287cb!8m2!3d-16.6834257!4d-49.2665953!16s%2Fg%2F11pwxc_yjv!19sChIJWxJNoyjxXpMRy4ei6j97Ti4?authuser=0&hl=pt-BR&rclk=1","LIDA Arquitetura","5,0","(1)","Escritório da empresa","·","","·","Rua 6, 370, Ed. Empire Center Sala 510","Aberto","· Fecha 18:00","·","(62) 3609-0806","","","","","Rotas","","","",""
"https://www.google.com/maps/place/Dayana+Youssef+Arquitetura+e+Interiores/data=!4m7!3m6!1s0x935ef1b493e1a335:0x4766c0f306e98746!8m2!3d-16.6888445!4d-49.2660992!16s%2Fg%2F11x047z13s!19sChIJNaPhk7TxXpMRRofpBvPAZkc?authuser=0&hl=pt-BR&rclk=1","Dayana Youssef Arquitetura e Interiores","5,0","(11)","Arquiteto","·","","·","Edifício Aton Business Style - R. João de Abreu, sala 87A","Aberto","· Fecha 18:00","·","(62) 99811-8257","","","Rotas","","","","","",""
"https://www.google.com/maps/place/Rogoski+Arquitetura/data=!4m7!3m6!1s0x935ef10acaa21319:0xb09ec6a5c3af9935!8m2!3d-16.7066056!4d-49.2622198!16s%2Fg%2F11vjdwxkqh!19sChIJGROiygrxXpMRNZmvw6XGnrA?authuser=0&hl=pt-BR&rclk=1","Rogoski Arquitetura","4,5","(2)","Arquiteto","·","","·","R. 1124, 219","Aberto","· Fecha 18:00","·","(62) 99491-0264","https://www.viver.arq.br/","","Rotas","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Arquiteta","que entende e traduz nossas ideias em belíssimos projetos!"""
"https://www.google.com/maps/place/Elaine+Saliba+Arquitetura/data=!4m7!3m6!1s0x935ef140d7929999:0xc4ffad56eda9d75!8m2!3d-16.713971!4d-49.2707744!16s%2Fg%2F1jkymbf4t!19sChIJmZmS10DxXpMRdZ3abtX6Tww?authuser=0&hl=pt-BR&rclk=1","Elaine Saliba Arquitetura","5,0","(4)","Arquiteto","·","","Número 1296, Sala 705 e 706 - Avenida T-63","·","Aberto","· Fecha 18:00","","(62) 3255-8794","https://bit.ly/meuprojetoDMArq","","Rotas","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""O projeto ficou sensacional!!""","",""
"https://www.google.com/maps/place/Griffe+Arquitetura/data=!4m7!3m6!1s0x935ef114aaaaaaab:0x62cebfc2b5b08430!8m2!3d-16.704717!4d-49.2410884!16s%2Fg%2F1tg5d5k1!19sChIJq6qqqhTxXpMRMISwtcK_zmI?authuser=0&hl=pt-BR&rclk=1","Griffe Arquitetura","4,9","(7)","Escritório de Arquitetura","·","","Edifício Metropolitan Business - Torre Tokyo - Av. Dep. Jamel Cecílio, 2690 - Sala 317","·","Aberto","· Fecha 19:00","","(62) 3093-1044","","","","","Rotas","","","",""
"https://www.google.com/maps/place/Arquiteto+Construtor+T%C3%A1ssio+Christiano+Arquitetura+e+Urbanismo/data=!4m7!3m6!1s0x935ef1001015de0f:0x2d812603302117e0!8m2!3d-16.6864038!4d-49.2647036!16s%2Fg%2F11y8m5ycbk!19sChIJD94VEADxXpMR4BchMAMmgS0?authuser=0&hl=pt-BR&rclk=1","Arquiteto Construtor Tássio Christiano Arquitetura e Urbanismo","5,0","(3)","Arquiteto","·","","Av. Goiás Norte","·","Aberto","· Fecha 18:00","","(62) 99281-1751","https://www.instagram.com/tc.arqurb/profilecard/?igsh=bm01d3d0djM1MnB5","","Website","","Rotas","","","",""
"https://www.google.com/maps/place/Forma+e+Fun%C3%A7%C3%A3o+Arquitetura+e+Engenharia/data=!4m7!3m6!1s0x935ef3337918702d:0xd35c1cbfdfd817ca!8m2!3d-16.6900806!4d-49.2750169!16s%2Fg%2F11fd6gq_wv!19sChIJLXAYeTPzXpMRyhfY378cXNM?authuser=0&hl=pt-BR&rclk=1","Forma e Função Arquitetura e Engenharia","5,0","(2)","Arquiteto","·","","Lourenço Office, Av. T-7, 371 - Sala 2017","·","Aberto","· Fecha 18:00","","(62) 98126-0613","https://www.instagram.com/8linhas/?next=/","","Rotas","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Profissionais dedicados, comprometidos e com um alto nível de excelência.""","",""
